Episode,Total Reward,Steps,Loss
1,2,35,0
2,4,4,0
3,292,533,1.1231724533576277
4,52,65,0.42648249096595325
5,108,130,0.14595619356259704
6,376,524,0.31632323102858484
7,44,66,0.313607251948931
8,16,16,0.383440030971542
9,16,16,0.338927410019096
10,16,16,0.14345890952972695
11,16,16,0.24718799127731472
12,551,1068,0.6214930256584499
13,22,33,0.4556225815957243
14,88,132,0.3629050985063342
15,240,537,0.5209095691342871
16,120,269,0.5755037380430889
17,10,34,0.7915415072484928
18,8,8,0.580666552297771
19,16,16,0.4855623245239258
20,16,16,0.5441174991428852
21,162,265,0.5253087358092362
22,44,66,0.7787831106194945
23,2,2,0.4422604888677597
24,16,16,0.3224792219698429
25,56,135,0.4289132045099029
26,164,265,0.3587304976540354
27,2,2,0.10371159017086029
28,16,16,0.3798972654622048
29,266,536,0.49544977745625063
30,4,4,0.10691745392978191
31,182,263,0.4568159642696607
32,368,526,0.29313328747456974
33,22,33,0.3272533475449591
34,8,8,0.2157495692372322
35,114,129,0.15429626629045307
36,16,16,0.08111318724695593
37,6,17,0.22239312518607168
38,32,67,0.19219500599290007
39,16,16,0.4300855128094554
40,22,33,0.29518905914191046
41,76,133,0.31296737780584427
42,150,266,0.370061684890013
43,8,8,0.46214690804481506
44,16,16,0.21460357680916786
45,511,1071,0.2976181143138255
46,86,132,0.26402055189916585
47,112,270,0.44196681772117263
48,4,4,0.27194100618362427
49,74,133,0.3940577280420558
50,356,527,0.3603932952660311
51,106,130,0.32507241491514904
52,96,131,0.3400027178626024
53,8,8,0.14188210293650627
54,22,33,0.3559042007634134
55,64,134,0.29540228757506876
56,4,4,0.5090404078364372
57,180,263,0.22577457971332646
58,-2,9,0.09657474441660775
59,54,65,0.29380744558114275
60,24,68,0.21286807077772477
61,639,1059,0.2710649715217641
62,2,2,0.8511914014816284
63,2,2,0.4046879708766937
64,8,8,0.5505552291870117
65,16,16,0.5136677790433168
66,378,524,0.31236484227346556
67,20,33,0.35349141467701306
68,76,133,0.3408171403452866
69,-4,18,0.3976253755390644
70,2,2,0.2189767137169838
71,32,32,0.4245211658999324
72,4,4,0.6831268444657326
73,54,65,0.4117266056629328
74,312,531,0.30210498048311796
75,32,32,0.17209936561994255
76,8,8,0.12857794761657715
77,344,528,0.2537629739028599
78,4,4,0.41737115755677223
79,8,8,0.28008382534608245
80,8,8,0.3503037206828594
81,74,133,0.24394260184433228
82,74,133,0.48844233457755326
83,8,8,0.3524080961942673
84,380,524,0.29372103674379924
85,158,265,0.22037781579595692
86,8,8,0.2923621591180563
87,64,64,0.16669310233555734
88,66,134,0.2826837550626317
89,86,132,0.22192171949780348
90,338,528,0.24065737168050624
91,8,8,0.23416488524526358
92,4,4,0.8237986415624619
93,326,529,0.3608235930337347
94,174,264,0.22338888610741406
95,108,130,0.2705534029465455
96,54,65,0.19715107965927858
97,4,4,0.12480267137289047
98,671,1054,0.2244756186532963
99,420,520,0.1982010633398134
100,324,530,0.191681685685268
101,2,2,0.09558786824345589
102,54,65,0.610123271208543
103,4,4,0.42786915600299835
104,4,4,0.4118681699037552
105,106,130,0.4239772808093291
106,96,131,0.28856560212510235
107,6,17,0.4256170519134578
108,4,4,0.24593885987997055
109,8,8,0.2128047477453947
110,2,2,0.17299745976924896
111,194,262,0.20688663494154697
112,2,2,0.8089384436607361
113,2,2,0.498536080121994
114,6,17,0.5257241489256129
115,54,65,0.31666021518982373
116,597,1063,0.24153942278361162
